ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
STORM_RAMMASUN(GLENDA)_2014,Rammasun(Glenda),2014,7,Storm,Tropical cyclone,1,1,1,0,0,0,102,982,29,4,6200,7664.48,80.89262372
STORM_KALMAEGI(LUIS)_2014,Kalmaegi(Luis),2014,9,Storm,Tropical cyclone,3,1,1,0,0,0,139,967,11,,4500,5562.93,80.89262372
STORM_SINLAKU(QUEENIE)_2014,Sinlaku(Queenie),2014,11,Storm,Tropical cyclone,5,0,0,0,0,0,92,985,1,0,4,4.94,80.89262372
STORM_KUJIRA_2015,Kujira,2015,6,Storm,Tropical cyclone,1,0,0,0,0,0,83,989,7,4,31,38.28,80.98857899
STORM_VAMCO_2015,Vamco,2015,9,Storm,Tropical cyclone,5,1,0,0,0,0,65,996,11,,218,269.17,80.98857899
STORM_MIRINAE_2016,Mirinae,2016,7,Storm,Tropical cyclone,3,1,0,0,0,0,92,985,3,5,191000,232897.49,82.0103309
STORM_AERE_2016,Aere,2016,10,Storm,Tropical cyclone,5,1,0,0,0,0,46,1004,37,,350000,426775.5,82.0103309
STORM_CARINA(NIDA)_2016,Carina(Nida),2016,8,Storm,Storm (General),2,1,0,0,0,0,,,25,,144000,175587.63,82.0103309
STORM_DIANMU_2016,Dianmu,2016,8,Storm,Tropical cyclone,3,1,1,0,0,0,83,989,11,15,157,191.44,82.0103309
STORM_RAI_2016,Rai,2016,9,Storm,Tropical cyclone,5,1,0,,,,55,1000,14,,73960,90183.76,82.0103309
STORM_TD_43_2016,TD_43,2016,11,,Tropical depression,5,1,0,,,,,,11,7,48100,58651.15,82.0103309
STORM_TALAS_2017,Talas,2017,7,Storm,Tropical cyclone,4,1,0,0,0,0,92,987,9,7,71000,84768.78,83.75725455
STORM_DOKSURI_2017,Doksuri,2017,9,Storm,Tropical cyclone,4,1,0,0,0,0,176,960,14,112,484000,577860.39,83.75725455
STORM_DAMREY(RAMIL)_2017,Damrey(Ramil),2017,11,Storm,Tropical cyclone,5,1,1,1,0,0,167,967,123,197,1000000,1193926.43,83.75725455
STORM_KIROGI_2017,Kirogi,2017,11,Storm,Tropical cyclone,5,0,0,,,,46,1004,10,,,,83.75725455
STORM_SONCA_2017,Sonca,2017,7,Storm,Tropical cyclone,4,1,1,,,,83,989,,,13000,15521.04,83.75725455
STORM_23W_2017,23W,2017,10,,Tropical depression,2,1,1,,,,,,103,32,8600,10267.77,83.75725455
STORM_SONTINH_2018,SonTinh,2018,7,Storm,Tropical cyclone,4,1,1,0,0,0,92,989,34,14,220000,256401.21,85.80302606
STORM_BEBINCA_2018,Bebinca,2018,8,Storm,Tropical cyclone,4,1,1,0,0,0,102,985,13,,2000,2330.92,85.80302606
STORM_TORAJI_2018,Toraji,2018,11,Storm,Tropical cyclone,7,0,0,0,0,0,55,1004,19,28,17200,20045.91,85.80302606
STORM_USAGI_2018,Usagi,2018,11,Storm,Tropical cyclone,7,1,0,,,,157,975,3,,39500,46035.67,85.80302606
STORM_MATMO_2019,Matmo,2019,11,Storm,Tropical cyclone,5,1,1,0,0,0,92,993,2,14,165000,188877.94,87.35800677
STORM_NAKRI_2019,Nakri,2019,11,Storm,Tropical cyclone,5,1,0,0,0,0,92,996,3,,4000,4578.86,87.35800677
STORM_KAJIKI_2019,Kajiki,2019,9,Storm,Tropical cyclone,4,1,0,0,0,0,54,998,6,,12900,14766.82,87.35800677
STORM_PODUL_2019,Podul,2019,8,Storm,Tropical cyclone,4,0,0,0,0,0,55,995,6,2,77,88.14,87.35800677
STORM_WIPHA_2019,Wipha,2019,8,Storm,Tropical cyclone,3,1,0,0,0,0,102,984,27,15,44300,50710.86,87.35800677
STORM_MUN_2019,Mun,2019,7,Storm,Tropical cyclone,3,1,0,0,0,0,55,995,2,3,4250,4865.04,87.35800677
STORM_NAN_2020,,2020,3,Storm,Extra-tropical storm,1,1,0,0,0,0,,,5,17,1500,1696.15,88.43564081
STORM_NAN_2020_2,,2020,4,Storm,Lightning/Thunderstorms,1,1,0,0,0,0,,,3,13,,,88.43564081
STORM_SINLAKU_2020,Sinlaku,2020,7,Storm,Tropical cyclone,4,1,0,0,0,0,83,989,2,2,12900,14586.88,88.43564081
STORM_LINFA_2020,Linfa,2020,10,Storm,Tropical cyclone,5,1,1,0,1,0,74,999,138,,850000,961150.95,88.43564081
STORM_NANGKA(NIKA)_2020,Nangka(Nika),2020,10,Storm,Tropical cyclone,4,1,0,0,0,0,65,999,2,,2940,3324.45,88.43564081
STORM_NOUL(LEON)_2020,Noul(Leon),2020,9,Storm,Tropical cyclone,5,1,1,0,0,0,83,992,6,,33000,37315.27,88.43564081
STORM_MOLAVE(QUINTA)_2020,Molave(Quinta),2020,10,Storm,Tropical cyclone,5,1,1,0,0,0,148,975,41,143,540000,610613.54,88.43564081
STORM_ULYSSES(VAMCO)_2020,Ulysses(Vamco),2020,11,Storm,Tropical cyclone,4,1,0,0,0,0,115,975,1,1000,19400,21936.86,88.43564081
STORM_ETAU(TONYO)_2020,Etau(Tonyo),2020,11,Storm,Tropical cyclone,5,1,0,0,0,0,74,998,2,,5260,5947.83,88.43564081
STORM_GONI_2020,Goni,2020,11,Storm,Tropical depression,5,1,1,,,,46,1009,23,19,43500,49188.31,88.43564081
STORM_KOGUMA_2021,Koguma,2021,6,Storm,Tropical cyclone,4,1,0,0,0,0,55,1001,1,,104,112.32,92.59019293
STORM_CONSON(JOLINA)_2021,Conson(Jolina),2021,9,Storm,Tropical cyclone,5,1,0,0,0,0,83,992,2,,4300,4644.12,92.59019293
STORM_TWE_2021,Twe,2021,10,Storm,Tropical cyclone,5,1,1,0,0,0,,,5,,7500,8100.21,92.59019293
STORM_DIANMU_2021,Dianmu,2021,9,Storm,Tropical cyclone,5,1,1,,,,65,1001,7,3,20500,22140.57,92.59019293
STORM_LIONROCK_2021,LionRock,2021,10,Storm,Tropical cyclone,3,0,0,,,,56,1002,2,0,0,0,92.59019293
STORM_KOMPASU_2021,Kompasu,2021,10,Storm,Tropical cyclone,4,0,0,,,,46,1002,0,0,0,0,92.59019293
STORM_NAN_2022,,2022,5,Storm,Storm (General),1,1,1,0,0,0,,,9,,,,100
STORM_NORU(KARDING)_2022,Noru(Karding),2022,9,Storm,Storm surge,5,1,0,0,0,0,176,949,9,62,108300,108300,100
STORM_SONCA_2022,Sonca,2022,10,Storm,Tropical cyclone,5,1,1,0,0,0,55,1000,19,110,65000,65000,100
STORM_MULAN_2022,Mulan,2022,8,Storm,Tropical cyclone,3,1,1,0,,,65,996,4,,229790,229790,100
