,ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
73,STORM_LEKIMA(HANNA)_2007,Lekima(Hanna),2007,9,Storm,Tropical cyclone,4,1,0,1,0,0,129,970,96,150,191000,269588,70.85
74,STORM_KAMMURI(JULIAN)_2008,Kammuri(Julian),2008,8,Storm,Tropical cyclone,1,1,1,0,0,0,51,1004,162,90,120000,163113,73.57
75,STORM_HAGUPIT(NINA)_2008,Hagupit(Nina),2008,9,Storm,Tropical cyclone,1,1,1,0,0,0,55,1000,46,61,63000,85634,73.57
76,STORM_MEKKHALA_2008,Mekkhala,2008,9,Storm,Tropical cyclone,4,1,0,0,0,0,101,982,18,,6500,8835,73.57
77,STORM_NOUL_2008,Noul,2008,11,Storm,Tropical cyclone,5,1,0,0,0,0,40,993,17,8,1000,1359,73.57
78,STORM_ONDOY(KETSANA)_2009,Ondoy(Ketsana),2009,9,Storm,Tropical cyclone,5,1,0,1,0,0,166,956,182,860,785000,1070836,73.31
79,STORM_PEPENG(PARMA)_2009,Pepeng(Parma),2009,10,Storm,Tropical cyclone,3,0,0,0,0,0,101,996,,,200,273,73.31
80,STORM_MIRINAE(SANTI)_2009,Mirinae(Santi),2009,11,Storm,Tropical cyclone,5,1,0,0,0,0,120,974,124,145,280000,381954,73.31
81,STORM_CONSON(BASYANG)_2010,Conson(Basyang),2010,7,Storm,Tropical cyclone,4,0,0,0,0,0,83,989,11,,500,671,74.51
82,STORM_CHANTHU_2010,Chanthu,2010,7,Storm,Tropical cyclone,1,0,1,0,0,0,46,1007,10,3,15000,20132,74.51
83,STORM_MINDULLE_2010,Mindulle,2010,8,Storm,Tropical cyclone,4,0,0,0,0,0,111,989,14,20,44000,59053,74.51
84,STORM_NAN_2011,,2011,6,Storm,Lightning/Thunderstorms,3,1,0,0,0,0,,,16,63,,,76.86
