,ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
64,STORM_NIKI_1996,Niki,1996,8.0,Storm,Tropical cyclone,North Central Coast,0.0,1.0,0.0,0.0,0.0,120.0,979.0,61.0,161.0,66000.0,123144.53,53.59556085
65,STORM_ERNIE_1996,Ernie,1996,11.0,Storm,Tropical cyclone,Mekong River Delta,0.0,0.0,0.0,0.0,0.0,55.0,985.0,124.0,146.0,89730.0,139143.0,53.59556085
66,STORM_MARTY_1996,Marty,1996,8.0,Storm,Tropical cyclone,Red River Delta,1.0,,0.0,0.0,0.0,92.0,998.0,225.0,146.0,89730.0,139143.0,53.59556085
67,STORM_ZITA_1997,Zita,1997,8.0,Storm,Tropical cyclone,NorthEast,0.0,0.0,0.0,0.0,0.0,138.0,990.0,124.0,146.0,5000.0,9116.03,54.84845417
68,STORM_LINDA_1997,Linda,1997,11.0,Storm,Tropical cyclone,Mekong River Delta,0.0,0.0,1.0,0.0,0.0,120.0,985.0,3682.0,857.0,470000.0,856906.56,54.84845417
69,STORM_FRITZ_1997,Fritz,1997,9.0,Storm,Tropical cyclone,South Central Coast,1.0,1.0,0.0,0.0,0.0,138.0,987.0,10.0,50.0,5000.0,9116.03,54.84845417
70,STORM_HANK_1997,Hank,1997,10.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,46.0,985.0,124.0,146.0,89730.0,139143.0,54.84845417
71,STORM_CHIP_1998,Chip,1998,11.0,Storm,Tropical cyclone,SouthEast,0.0,0.0,1.0,1.0,0.0,92.0,994.0,17.0,146.0,923.0,1657.1,55.69986281
72,STORM_ELVIS_1998,Elvis,1998,11.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,1.0,1.0,0.0,64.0,998.0,187.0,146.0,28000.0,50269.42,55.69986281
73,STORM_DAWN_1998,Dawn,1998,11.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,1.0,1.0,0.0,75.0,992.0,49.0,92.0,30000.0,53860.1,55.69986281
74,STORM_FAITH_1998,Faith,1998,12.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,0.0,0.0,0.0,120.0,970.0,38.0,146.0,20000.0,35906.73,55.69986281
75,STORM_GIL_1998,Gil,1998,12.0,Storm,Tropical cyclone,Mekong River Delta,0.0,0.0,0.0,0.0,0.0,65.0,992.0,0.0,0.0,89730.0,139143.0,55.69986281
76,STORM_NAN_1999,,1999,6.0,Storm,Tornado,NorthEast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,10.0,0.0,89730.0,139143.0,56.91858704
77,STORM_EVE_1999,Eve,1999,10.0,Storm,Tropical cyclone,North Central Coast,1.0,0.0,0.0,0.0,0.0,65.0,990.0,622.0,146.0,235000.0,412870.4,56.91858704
78,STORM_NAN_2000,,2000,6.0,Storm,Storm (General),Red River Delta,0.0,0.0,0.0,0.0,0.0,93.0,985.0,3.0,29.0,89730.0,139143.0,58.84064849
79,STORM_NAN_2000_2,,2000,7.0,Storm,Storm (General),Mekong River Delta,0.0,0.0,0.0,0.0,0.0,65.0,985.0,0.0,0.0,89730.0,139143.0,58.84064849
80,STORM_KAEMI_2000,Kaemi,2000,8.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,83.0,985.0,15.0,4.0,5000.0,8497.53,58.84064849
81,STORM_NAN_2000_3,,2000,8.0,Storm,Storm (General),Central Highlands,0.0,0.0,0.0,0.0,0.0,93.0,985.0,1.0,77.0,89730.0,139143.0,58.84064849
82,STORM_NAN_2000_4,,2000,8.0,Storm,Storm (General),Mekong River Delta,0.0,0.0,0.0,0.0,0.0,70.0,985.0,3.0,3.0,35.0,59.48,58.84064849
83,STORM_WUKONG_2000,Wukong,2000,9.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,111.0,955.0,5.0,29.0,21000.0,35689.61,58.84064849
84,STORM_DURIAN_2001,Durian,2001,7.0,Storm,Tropical cyclone,NorthEast,0.0,0.0,0.0,0.0,0.0,55.0,1000.0,30.0,3.0,25000.0,41319.87,60.50357889
85,STORM_USAGI_2001,Usagi,2001,8.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,74.0,994.0,3.0,3.0,3200.0,5288.94,60.50357889
86,STORM_LINGLING(NANANG)_2001,Lingling(Nanang),2001,11.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,175.0,949.0,20.0,83.0,55000.0,90903.71,60.50357889
87,STORM_FITOW_2001,Fitow,2001,9.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,35.0,1003.0,124.0,146.0,89730.0,139143.0,60.50357889
88,STORM_NAN_2002,,2002,10.0,Storm,Lightning/Thunderstorms,SouthEast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,0.0,0.0,100.0,162.7,61.46318826
89,STORM_KONI_2003,Koni,2003,7.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,101.0,984.0,3.0,18.0,1000.0,1590.88,62.8584595
